21,00
70,50
71,07
60,45
60,01
60,01
44,06
17,00
18,94
26,27
13,00
17,00
13,62
23,00
27,55
72,64
110,00
116,46
125,98
135,00
130,75
85,01
93,24
85,01
69,86
50,00
50,01
48,58
50,01
67,79
86,90
91,01
130,00
134,33
129,72
125,06
127,43
117,45
126,36
130,11
134,44
150,68
152,08
137,72
130,20
129,53
119,11
76,80
106,05
99,20
92,53
89,82
91,07
99,31
121,40
121,14
131,70
143,60
150,00
130,61
130,80
126,59
128,90
144,66
100,00
118,70
112,31
111,46
124,68
116,71
98,12
94,14
108,14
104,68
105,97
102,61
102,21
106,90
112,85
118,88
128,39
130,75
130,34
128,29
130,03
129,85
136,40
138,07
133,83
145,74
137,93
131,16
125,66
119,03
114,69
107,94
113,39
99,89
94,63
94,35
91,16
86,19
87,12
86,01
97,39
97,67
92,41
93,91
89,91
98,54
115,71
120,00
120,00
135,00
150,00
135,00
181,09
188,18
149,66
89,46
74,83
94,76
78,09
74,49
75,47
99,00
101,31
143,85
156,25
125,92
105,16
84,75
86,48
111,71
119,08
118,00
134,40
157,07
153,35
163,26
165,13
142,18
109,00
73,96
36,50
64,29
65,24
16,73
73,90
95,38
132,63
160,00
130,00
134,47
135,00
134,00
138,10
160,00
150,00
135,00
135,00
135,00
140,00
150,00
130,67
108,87
98,17
74,79
91,90
74,49
72,45
70,87
74,49
94,72
149,35
147,92
137,40
125,56
109,89
102,38
105,53
110,01
120,00
135,31
144,73
153,96
148,64
148,16
136,35
127,09
116,13
104,77
103,80
103,02
101,14
98,67
102,42
106,11
129,74
147,26
161,70
153,50
145,17
137,77
126,54
122,34
126,62
131,61
130,26
127,73
131,49
120,20
113,36
100,29
100,01
89,06
87,67
80,50
80,40
79,14
71,98
82,15
92,68
112,27
136,85
135,41
123,57
113,59
107,43
105,01
110,01
128,69
131,41
141,55
143,35
140,01
134,75
122,51
120,00
114,97
108,67
99,83
96,52
93,17
92,34
94,05
96,30
93,82
109,69
105,89
103,46
99,74
96,81
93,15
100,72
104,76
106,95
115,88
120,91
111,70
110,66
104,72
104,39
106,20
87,22
86,15
87,87
85,27
85,00
85,48
87,52
101,75
117,68
120,07
117,77
105,61
102,99
99,61
105,09
119,43
133,94
141,84
146,66
143,90
135,34
127,63
121,36
114,90
112,39
105,07
104,46
100,37
100,00
110,15
140,28
180,00
220,91
173,53
141,49
121,08
114,26
118,34
119,76
141,59
134,07
146,21
147,81
138,69
118,50
118,19
115,57
103,84
108,44
105,52
101,09
99,84
103,23
108,88
147,76
159,75
183,97
151,94
123,72
117,43
112,05
112,97
115,35
123,70
122,33
145,63
155,13
148,25
126,47
100,80
114,93
127,32
106,14
111,75
110,48
108,91
105,85
108,88
128,02
189,75
301,07
307,36
299,88
294,05
299,39
296,95
277,91
278,85
320,03
368,41
320,52
268,72
180,95
151,20
140,72
123,90
126,14
117,84
117,38
114,72
114,38
120,87
128,06
162,75
197,25
175,00
151,90
140,64
132,21
133,21
138,91
159,07
171,96
187,68
184,32
179,97
159,60
138,33
140,96
127,60
119,83
121,50
118,11
115,27
115,58
121,93
140,80
175,01
208,13
175,34
158,00
140,74
126,44
124,03
133,25
151,98
166,42
178,02
179,92
174,22
157,91
145,00
139,97
129,09
126,97
121,42
121,77
118,96
117,46
119,88
118,35
137,54
146,20
144,10
135,94
121,96
118,87
115,01
119,36
132,70
139,43
160,00
167,57
167,85
156,12
143,42
136,40
129,36
130,04
125,60
124,18
121,24
120,18
120,00
121,77
124,65
123,74
126,82
127,50
126,21
112,25
107,51
116,81
126,88
136,94
144,80
155,42
152,75
143,82
134,70
136,78
124,72
130,00
134,33
129,72
125,06
127,43
117,45
126,36
130,11
134,44
150,68
152,08
137,72
130,20
129,53
119,11
76,80
106,05
99,20
92,53
89,82
91,07
99,31
121,40
121,14
131,70
143,60
150,00
130,61
130,80
126,59
128,90
144,66
100,00
118,70
112,31
111,46
124,68
116,71
98,12
94,14
108,14
104,68
105,97
102,61
102,21
106,90
112,85
118,88
128,39
130,75
130,34
128,29
130,03
129,85
136,40
138,07
133,83
145,74
137,93
131,16
125,66
119,03
114,69
107,94
113,39
99,89
94,63
94,35
91,16
86,19
87,12
86,01
97,39
97,67
92,41
93,91
89,91
98,54
115,71
120,00
120,00
135,00
150,00
135,00
181,09
188,18
149,66
89,46
74,83
94,76
78,09
74,49
75,47
99,00
101,31
143,85
156,25
125,92
105,16
84,75
86,48
111,71
119,08
118,00
134,40
157,07
153,35
163,26
165,13
142,18
109,00
73,96
36,50
64,29
65,24
16,73
73,90
95,38
132,63
160,00
130,00
134,47
135,00
134,00
138,10
160,00
150,00
135,00
135,00
135,00
140,00
150,00
130,67
108,87
98,17
74,79
91,90
74,49
72,45
70,87
74,49
94,72
149,35
147,92
137,40
125,56
109,89
102,38
105,53
110,01
120,00
135,31
144,73
153,96
148,64
148,16
136,35
127,09
116,13
104,77
103,80
103,02
101,14
98,67
102,42
106,11
129,74
147,26
161,70
153,50
145,17
137,77
126,54
122,34
126,62
131,61
130,26
127,73
131,49
120,20
113,36
100,29
100,01
89,06
87,67
80,50
80,40
79,14
71,98
82,15
92,68
112,27
136,85
135,41
123,57
113,59
107,43
105,01
110,01
128,69
131,41
141,55
143,35
140,01
134,75
122,51
120,00
114,97
108,67
99,83
96,52
93,17
92,34
94,05
96,30
93,82
109,69
105,89
103,46
99,74
96,81
93,15
100,72
104,76
106,95
115,88
120,91
111,70
110,66
104,72
104,39
106,20
87,22
86,15
87,87
85,27
85,00
85,48
87,52
101,75
117,68
120,07
117,77
105,61
102,99
99,61
105,09
119,43
133,94
141,84
146,66
143,90
135,34
127,63
121,36
114,90
112,39
105,07
104,46
100,37
100,00
110,15
140,28
180,00
220,91
173,53
141,49
121,08
114,26
118,34
119,76
141,59
134,07
146,21
147,81
138,69
118,50
118,19
115,57
103,84
108,44
105,52
101,09
99,84
103,23
108,88
147,76
159,75
